season,date,playoff,neutral,status,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating
2022,2021-10-12,0,0,pre,,Tampa Bay Lightning,Pittsburgh Penguins,TBL,PIT,1568.60856240227,1538.19964678231,0.6136950182461212,0.38630498175387884,0.23019353408683765,1.316314945477519,0.9138785886093186,,,,,95,35,65
2022,2021-10-12,0,0,pre,,Vegas Golden Knights,Seattle Kraken,VEG,SEA,1560.2750812247,1490.0,0.6664914974781639,0.33350850252183606,0.22351775113625375,1.4075280654248283,0.8159896857114255,,,,,72,38,55
2022,2021-10-13,0,0,pre,,Toronto Maple Leafs,Montreal Canadiens,TOR,MTL,1530.5070060119,1503.90766450914,0.608483290029769,0.391516709970231,0.23083872680133022,1.3073437989105117,0.9234949278908184,,,,,63,71,67
2022,2021-10-13,0,0,pre,,Washington Capitals,New York Rangers,WSH,NYR,1531.39794382973,1511.675214577,0.5990134803113121,0.4009865196886879,0.23200655686856528,1.2910584624063057,0.9409480944622595,,,,,68,69,68
2022,2021-10-13,0,0,pre,,Colorado Avalanche,Chicago Blackhawks,COL,CHI,1565.00569615766,1482.66527975803,0.6817471557124222,0.31825284428757783,0.22152474101369996,1.4339951903325234,0.7875295506811766,,,,,70,27,48
2022,2021-10-13,0,0,pre,,Edmonton Oilers,Vancouver Canucks,EDM,VAN,1515.93029540105,1481.83437325312,0.6187143918696628,0.3812856081303372,0.2295703042445211,1.3249606368018645,0.9046096674426567,,,,,38,66,52
2022,2021-10-13,0,0,pre,,Anaheim Ducks,Winnipeg Jets,ANA,WPG,1450.4102192207,1508.57317510516,0.48825472325339053,0.5117452767466095,0.24264395983781153,1.100681346884875,1.1419626129529366,,,,,16,51,33
2022,2021-10-14,0,0,pre,,Columbus Blue Jackets,Arizona Coyotes,CBJ,ARI,1464.62996195965,1484.78129993772,0.5428503068487514,0.45714969315124865,0.23885925471756037,1.1948950486979713,1.043964206019589,,,,,13,47,30
2022,2021-10-14,0,0,pre,,Ottawa Senators,Toronto Maple Leafs,OTT,TOR,1470.08932510132,1530.5070060119,0.4850122434313876,0.5149877565686124,0.24224856148408694,1.0947795300734386,1.1474690314106482,,,,,40,54,47
2022,2021-10-14,0,0,pre,,Florida Panthers,Pittsburgh Penguins,FLA,PIT,1531.70951122805,1538.19964678231,0.562290436314739,0.43770956368526104,0.23649591885981094,1.2280973980869507,1.0083985207728603,,,,,83,58,70
2022,2021-10-14,0,0,pre,,New York Rangers,Dallas Stars,NYR,DAL,1511.675214577,1504.68660347702,0.5812855216848094,0.4187144783151906,0.2341800141468245,1.2606256058249503,0.9735544083218741,,,,,51,63,57
2022,2021-10-14,0,0,pre,,Buffalo Sabres,Montreal Canadiens,BUF,MTL,1448.10618132612,1503.90766450914,0.49165177044591,0.50834822955409,0.24305854792126122,1.1068619234055812,1.13619662451568,,,,,14,53,33
2022,2021-10-14,0,0,pre,,Carolina Hurricanes,New York Islanders,CAR,NYI,1543.63575877862,1540.99159967922,0.5751865129475667,0.42481348705243327,0.23492475032257693,1.2501722282745895,0.9847525220479874,,,,,89,57,73
2022,2021-10-14,0,0,pre,,Detroit Red Wings,Tampa Bay Lightning,DET,TBL,1444.89773099071,1568.60856240227,0.3954849927866405,0.6045150072133595,0.23132877028078397,0.9308116988082267,1.3005170714725574,,,,,46,18,32
2022,2021-10-14,0,0,pre,,Nashville Predators,Seattle Kraken,NSH,SEA,1513.00278965036,1490.0,0.6035401610057617,0.3964598389942383,0.2314490023805914,1.2988405562307097,0.9326084461498817,,,,,42,73,57
2022,2021-10-14,0,0,pre,,Los Angeles Kings,Vegas Golden Knights,LAK,VEG,1467.62465077722,1560.2750812247,0.43892756548718365,0.5610724345128164,0.2366441207853019,1.0106296239365216,1.2260144968487805,,,,,57,35,46
2022,2021-10-15,0,0,pre,,New Jersey Devils,Chicago Blackhawks,NJD,CHI,1456.39070938115,1482.66527975803,0.5340906643419783,0.46590933565802173,0.23992379603911582,1.1799640651050918,1.059959730934024,,,,,10,39,24
2022,2021-10-15,0,0,pre,,Philadelphia Flyers,Vancouver Canucks,PHI,VAN,1491.62572351588,1481.83437325312,0.5852071576172099,0.41479284238279013,0.23370043252482242,1.2673515819074783,0.9663488506173441,,,,,24,56,40
2022,2021-10-15,0,0,pre,,Anaheim Ducks,Minnesota Wild,ANA,MIN,1450.4102192207,1525.27321264935,0.4642802295545395,0.5357197704454605,0.2397257820236269,1.056986300024635,1.182739481998992,,,,,24,54,39
2022,2021-10-16,0,0,pre,,Buffalo Sabres,Arizona Coyotes,BUF,ARI,1448.10618132612,1484.78129993772,0.5191666494040093,0.48083335059599075,0.24173938952555996,1.1545696594446229,1.087169730080937,,,,,7,35,21
2022,2021-10-16,0,0,pre,,Florida Panthers,New York Islanders,FLA,NYI,1531.70951122805,1540.99159967922,0.5583309745153185,0.44166902548468145,0.23697760086874067,1.2213276150680317,1.015649985800709,,,,,84,60,72
2022,2021-10-16,0,0,pre,,Boston Bruins,Dallas Stars,BOS,DAL,1547.91129670929,1504.68660347702,0.6310314918104123,0.3689685081895877,0.22803233293337286,1.3461997333222426,0.8818325996111303,,,,,74,56,65
